Date,Temp,ED Attends,Pollution,Passengers,Births,Electric Production,Drug Sales,Beer Production
28/04/1981,9.3,53,132,359,42,71.2661,9.75335821,116.2
29/04/1981,9.9,60,93,310,58,75.2458,10.85038183,135.9
30/04/1981,7.4,46,131,337,51,84.8147,9.96171916,134
01/05/1981,8.6,64,127,360,32,92.4532,11.44360144,104.6
02/05/1981,11.9,73,130,342,35,87.4033,11.65923889,107.1
03/05/1981,14,53,43,406,38,81.2661,10.64705979,123.5
04/05/1981,8.6,50,37,396,33,73.8167,12.65213444,98.8
05/05/1981,10,66,30,420,39,73.2682,13.67446631,98.6
06/05/1981,13.5,57,28,472,47,78.3026,12.96573509,90.6
07/05/1981,12,54,24,548,38,85.9841,16.30026927,89.1
08/05/1981,10.5,50,23,559,52,89.5467,9.05348536,105.2
09/05/1981,10.7,69,24,463,30,78.5035,10.00244879,114
10/05/1981,8.1,81,27,407,34,73.7066,10.78875007,122.1
11/05/1981,10.1,72,40,362,40,79.6543,12.10670515,138
12/05/1981,10.6,74,42,405,35,90.8251,10.95410107,142.2
13/05/1981,5.3,66,42,417,42,98.9732,12.84456587,116.4
14/05/1981,6.6,68,55,391,41,92.8883,12.19649985,112.6
15/05/1981,8.5,67,52,419,42,86.9356,12.85474787,123.8
16/05/1981,11.2,71,51,461,38,77.2214,13.54200436,103.6
17/05/1981,9.8,76,57,472,24,76.6826,13.28764,113.9
18/05/1981,5.9,83,50,535,34,81.9306,15.13491784,98.6
19/05/1981,3.2,83,54,622,43,85.9606,16.82834968,95
20/05/1981,2.1,84,67,606,36,86.5562,9.80021461,116
21/05/1981,3.4,79,106,508,55,79.1919,10.81699371,113.9
22/05/1981,5.4,84,159,461,41,74.6891,10.65422256,127.5
23/05/1981,9.6,87,198,390,45,81.074,12.51232269,131.4
24/05/1981,11.5,108,190,432,41,90.4855,12.16120969,145.9
